time,Inflow
2017-02-01 00:00:00,1.73203272
2017-02-01 00:01:00,1.4433606
2017-02-01 00:02:00,1.09053912
2017-02-01 00:03:00,1.13330536
2017-02-01 00:04:00,1.58235088
2017-02-01 00:05:00,1.67857492
2017-02-01 00:06:00,1.7213411600000001
2017-02-01 00:07:00,1.9244808
2017-02-01 00:08:00,1.56096776
2017-02-01 00:09:00,1.8389483199999999
2017-02-01 00:10:00,2.0848542
2017-02-01 00:11:00,2.06347108
2017-02-01 00:12:00,1.79618208
2017-02-01 00:13:00,1.2081462799999998
2017-02-01 00:14:00,1.52889308
2017-02-01 00:15:00,1.603734
2017-02-01 00:16:00,1.50750996
2017-02-01 00:17:00,1.31506188
2017-02-01 00:18:00,1.1546884800000001
2017-02-01 00:19:00,1.2829872
2017-02-01 00:20:00,1.47543528
2017-02-01 00:21:00,1.52889308
2017-02-01 00:22:00,1.4968184
2017-02-01 00:23:00,1.6892664800000001
2017-02-01 00:24:00,1.3899028
2017-02-01 00:25:00,1.1867631600000002
2017-02-01 00:26:00,1.13330536
2017-02-01 00:27:00,1.3043703199999999
2017-02-01 00:28:00,1.2295293999999999
2017-02-01 00:29:00,1.52889308
2017-02-01 00:30:00,1.41128592
2017-02-01 00:31:00,1.1760716
2017-02-01 00:32:00,1.2829872
2017-02-01 00:33:00,1.2295293999999999
2017-02-01 00:34:00,1.2402209599999998
2017-02-01 00:35:00,1.09053912
2017-02-01 00:36:00,1.1867631600000002
2017-02-01 00:37:00,1.3043703199999999
2017-02-01 00:38:00,1.2295293999999999
2017-02-01 00:39:00,1.069156
2017-02-01 00:40:00,1.1546884800000001
2017-02-01 00:41:00,0.9836235200000001
2017-02-01 00:42:00,1.45405216
2017-02-01 00:43:00,1.2402209599999998
2017-02-01 00:44:00,1.1760716
2017-02-01 00:45:00,0.93016572
2017-02-01 00:46:00,0.9515488400000001
2017-02-01 00:47:00,1.05846444
2017-02-01 00:48:00,1.35782812
2017-02-01 00:49:00,1.29367876
2017-02-01 00:50:00,1.1226138
2017-02-01 00:51:00,1.2295293999999999
2017-02-01 00:52:00,1.2829872
2017-02-01 00:53:00,1.2081462799999998
2017-02-01 00:54:00,1.52889308
2017-02-01 00:55:00,1.62511712
2017-02-01 00:56:00,1.63580868
2017-02-01 00:57:00,1.4433606
2017-02-01 00:58:00,1.3685196800000001
2017-02-01 00:59:00,1.31506188
2017-02-01 01:00:00,1.2081462799999998
2017-02-01 01:01:00,1.069156
2017-02-01 01:02:00,0.97293196
2017-02-01 01:03:00,1.05846444
2017-02-01 01:04:00,0.9622404
2017-02-01 01:05:00,1.03708132
2017-02-01 01:06:00,1.05846444
2017-02-01 01:07:00,1.1760716
2017-02-01 01:08:00,1.09053912
2017-02-01 01:09:00,0.9194741599999999
2017-02-01 01:10:00,1.0156981999999999
2017-02-01 01:11:00,1.00500664
2017-02-01 01:12:00,1.0156981999999999
2017-02-01 01:13:00,0.97293196
2017-02-01 01:14:00,1.0156981999999999
2017-02-01 01:15:00,1.02638976
2017-02-01 01:16:00,0.9515488400000001
2017-02-01 01:17:00,1.10123068
2017-02-01 01:18:00,1.14399692
2017-02-01 01:19:00,1.09053912
2017-02-01 01:20:00,1.13330536
2017-02-01 01:21:00,1.03708132
2017-02-01 01:22:00,1.00500664
2017-02-01 01:23:00,1.1760716
2017-02-01 01:24:00,1.07984756
2017-02-01 01:25:00,1.10123068
2017-02-01 01:26:00,1.26160408
2017-02-01 01:27:00,1.3899028
2017-02-01 01:28:00,1.03708132
2017-02-01 01:29:00,1.19745472
2017-02-01 01:30:00,1.2829872
2017-02-01 01:31:00,0.86601636
2017-02-01 01:32:00,1.03708132
2017-02-01 01:33:00,0.93016572
2017-02-01 01:34:00,1.05846444
2017-02-01 01:35:00,0.9622404
2017-02-01 01:36:00,0.9087826
2017-02-01 01:37:00,1.35782812
2017-02-01 01:38:00,1.09053912
2017-02-01 01:39:00,0.97293196
2017-02-01 01:40:00,1.069156
2017-02-01 01:41:00,0.9836235200000001
2017-02-01 01:42:00,1.13330536
2017-02-01 01:43:00,1.1760716
2017-02-01 01:44:00,1.42197748
2017-02-01 01:45:00,1.3685196800000001
2017-02-01 01:46:00,1.2829872
